identity_key,korean_name,other_names_or_codes,record_type,final_tier,ga_window,faction_or_org,function_summary,tier_evidence,source_docs,alias_merge_hints,aliases
sena-rok,,BA-VIC-001,PERSON,IMPORTANT_EXTRA,GA7,피해지역·피해자 청구 대표단,청구 대표; 누락 인구·하류 사망을 일급 증거화,ga7 e716-740 §4,ga7 문서군,Sira Keon과 유사음 관리; Ben Rok·Rok Tain과 록 충돌; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 세나 록),Sena Rok; BA-VIC-001
marid-ken,,BA-AN-001,PERSON,IMPORTANT_EXTRA,GA7,수사 협조 분석가,항로위험 모델 분석가; 모델 판본사·맹점 증언; 자발적 보호 수감,ga7 e716-740 §2,ga7 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 마리드 켄),Marid Ken; BA-AN-001
toa-vern,,BA-KEY-001,PERSON,IMPORTANT_EXTRA,GA7,수사 협조 기술자,자격증명 보관·직위 이관 기술자; 11개 계보 지식; 마스터키 단일 서사 거부,ga7 e716-740 §3,ga7 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 토아 베른),Toa Vern; BA-KEY-001
bes-aron,베스 아론,Bes Aron,PERSON,IMPORTANT_EXTRA,GA6-7,중립 회원 선장 연락,회원-선장 연락관·거부/임무 대안 담당; 오라 니브의 임시 조정 승계,ga7 e691-715 §6; ledger §13,ga7 문서군; officeholders-ledger,카린 베스와 유사음 관리,Bes Aron
rok-tain,로크 타인,Rok Tain,PERSON,IMPORTANT_EXTRA,GA7,초토 거부 연합,폭파 책임자; D4/D5 기록 분열 후 강경 잔당 지도,ledger §18,officeholders-ledger; succession-table §6,sweep의 Rok(스코치드 셀)=로크 타인 병합; 벤 로크와 로크 충돌 관리,Rok Tain; Rok
ima-ro,이마 로,RF-L04,PERSON,IMPORTANT_EXTRA,GA7,지역 노드/시민 관리,선출 시민·노드 리더; 중앙 압류·즉시 파괴 모두 거부,ledger §19,officeholders-ledger; ga7-route-war-leaders,RF-L04 현직=이마 로,Ima Ro; RF-L04
toren-vi,토렌 비,Toren Vi,PERSON,IMPORTANT_EXTRA,GA7,지역 노드,선임 오퍼레이터 부관; 지역 심사 후 기술권 분리,ledger §19,officeholders-ledger,,Toren Vi
lien-kos,리엔 코스,Lien Kos,PERSON,IMPORTANT_EXTRA,GA7,지역 노드,시민 서비스 대표 부관,ledger §19,officeholders-ledger,,Lien Kos
dao-ver,다오 베르,Dao Ver,PERSON,IMPORTANT_EXTRA,GA7-8,의존지역 치료 물류,치료·보급 조정자; 린 오사 사후 서비스 조정만 승계(증언 권위 비승계),ledger §20; succession-table §6,officeholders-ledger; succession-table,요나 베르와 베르 표기 충돌 관리,Dao Ver
hara-ben,하라 벤,OF-703,PERSON,IMPORTANT_EXTRA,GA7(GA9 재사용),하류 농업 협동,농업 협동 행정관; 실질 부담 분담 제안; GA9 하렌 유산 비판,roster §14,ordinary-roster,다라 벤과 벤 표기 충돌 관리; 근사 동명 주의: Dara Ben(동일 문서 roster 내)과 별개 인물,Hara Ben; OF-703
nev-aran,네브 아란,OF-702,PERSON,IMPORTANT_EXTRA,GA7(GA8·10 재사용),하렌 거부망 기술,가역 거부 하드웨어 기술자; 숨은 영구 실패모드 발견 후 서명 거부; GA8 출처 증인·GA10 기술 격리 감사,roster §13,ordinary-roster,베스 아론과 아론/아란 유사음 관리,Nev Aran; OF-702
eren-sol,,Translation and Provenance Rapporteur,PERSON,IMPORTANT_EXTRA,GA8,협약 보고관(중립 증거),6240 시드연계 물체 연대기·기능 분석 리드; 증거 전용 권한; 양측이 선택 인용,ga8-e826-850; ga8-e851-875,ga8 문서군,메이라 솔·테렌 솔과 솔 표기 충돌 관리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 에렌 솔); 근사 동명 주의: Teren Sol(ga9)과 별개 인물,Eren Sol
mira-quell,,Mira Quell,PERSON,IMPORTANT_EXTRA,GA8,현재돌봄 시스템 연구,의료·분산 돌봄 분석 대표; 비공식 돌봄망 저평가 14사례 발견,ga8-e851-875,ga8 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 미라 퀠),Mira Quell
mael-corven,,Imperial Continuity Jurist,PERSON,IMPORTANT_EXTRA,GA8,제국 연속성 네트워크,제국 창건사 연합 대표; 칭호 없는 기여 수용; 만료 비상직 부활 불가,ga8-e826-850,ga8 문서군,imperial-continuity-network의 대표 얼굴; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 마엘 코르벤),Mael Corven
sera-nym,,Independence Exodus Civic Historian,PERSON,IMPORTANT_EXTRA,GA8,독립 엑소더스 네트워크,후손 조직가·역사가; 영웅 소유 서사에서 노동·가족·교정 구제로 전환,ga8-e826-850,ga8 문서군,independence-exodus-network의 대표; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 세라 님),Sera Nym
dovan-pell,,Helix Successor Maintenance Trustee,PERSON,IMPORTANT_EXTRA,GA8,헬릭스 승계 신탁,승계 기술신탁 대표; 2940 검증 채무의 감독 지급 수용; AI 인격의 자산 주장 불가,ga8-e826-850,ga8 문서군,오다 펠과 성 충돌 표기 관리(가족 관계 미확정); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 도반 펠),Dovan Pell
iven-tal,,Neutral Custodial Convenor,PERSON,IMPORTANT_EXTRA,GA8,중립 수탁 네트워크,수탁망 대표; 구금 제한의 기한·사유·항소 한계 수용,ga8-e826-850,ga8 문서군,neutral-custodial-network의 대표; Iven 계열 충돌 관리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 이벤 탈),Iven Tal
ilya-serr,,Return Council Procedure Lead,PERSON,IMPORTANT_EXTRA,GA8,세라트 귀환 평의회,후손 청구 조정; 혈통은 마스터키가 아님,ga8-e826-850,ga8 문서군,Serr가 Serrat과 음운 유사 — 충돌표 대상; Ilya Fen과 별개; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 일리야 세르),Ilya Serr
toma-vey,,Diaspora Service Cooperative Coordinator,PERSON,IMPORTANT_EXTRA,GA8,디아스포라 서비스 협동조합,서비스 채널 대표; 3700 미해결 사용자 장부; E844 수동 대응 조직,ga8-e826-850,ga8 문서군,Chorus Thread Vey와 성 충돌(우연 추정) 관리; Toma Cal·Toma Ess와 이름 중복 관리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 토마 베이),Toma Vey
kesh-vara,,Serrat Habitat Safety Coordinator,PERSON,IMPORTANT_EXTRA,GA8,세라트 현지 거주구 당국,물리 접근·기질 안전·비상 정지; 9구역 조닝 시행,ga8-e826-850,ga8 문서군,serrat-local-habitat-authority의 명명된 조정자; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 케시 바라),Kesh Vara
serat-moen,세라트 모엔,Serat Moen,PERSON,IMPORTANT_EXTRA,GA8,메리디안 기록원,수석 국가 큐레이터; 제한적 색인 접근 승인; 봉인자료 오용 노출 후 집행 관리권 사임,ledger §21; succession-table §7,officeholders-ledger; succession-table,sweep의 Serat 병합; 인명 Serat와 지명 Serrat 구분 필요,Serat Moen; Serat
iro-vas,이로 바스,Iro Vas,PERSON,IMPORTANT_EXTRA,GA8,오르센 환자 의회,임상 조정자; 현재 임상 안전 우선; 환자 대표권 비승계,ledger §22; succession-table §7,officeholders-ledger; succession-table,sweep의 Iro 병합,Iro Vas; Iro
sef-lain,세프 라인,Sef Lain,PERSON,IMPORTANT_EXTRA,GA8-9,아르디스 항로 미러,노동·정비 기록 대표 부관,ledger §23; errata-002,officeholders-ledger; errata-002,구명 세프 아린(Sef Arin) — errata-002 최종명 세프 라인; 아린 베일과 표기 충돌 해소,Sef Lain; 세프 아린(구명); Sef Arin(구명)
savel-ir,사벨 이르,Savel Ir,PERSON,IMPORTANT_EXTRA,GA8,팔림프세스트 지역회의,임시 소집자; 외부 압류에 맞서 소집하되 전 지역 구속 불가; 비상 종료 후 해산,ledger §24; succession-table §7,officeholders-ledger; succession-table,sweep의 Savel 병합; 이르 다넬과 이르 충돌 관리,Savel Ir; Savel
mera-un,메라 운,Mera Un,PERSON,IMPORTANT_EXTRA,GA8,룸 번역/지방정부,Authority F 번역 조건 협상 부관,ledger §24,officeholders-ledger,메이라 솔과 음소 유사 관리,Mera Un
rav-kes,라브 케스,Rav Kes,PERSON,IMPORTANT_EXTRA,GA8,베스퍼 정비,전력·냉각·서비스 노동자 리더; 조건부 가동; 나크레-3 이후 고위험 현장 은퇴,ledger §25,officeholders-ledger,노마 케스와 성 동일(관계 미명시),Rav Kes
nio-ser,니오 세르,Nio Ser,PERSON,IMPORTANT_EXTRA,GA8,베스퍼,신진 오퍼레이터·훈련 조정자; 분산 오퍼레이터 칼리지 지도,ledger §25,officeholders-ledger,,Nio Ser
bel-ona,벨 오나,Bel Ona,PERSON,IMPORTANT_EXTRA,GA8,콰이어트 하버 정체성 서약,서약 대변인; 전면 동기화 거부; 단일 대변인의 전 정체성 통제 불가,ledger §26,officeholders-ledger,이사 벨·티아 벨과 벨 충돌; 네미 오라·세비 오라와 유사음 관리,Bel Ona
risa-kern,리사 케른,Risa Kern,PERSON,IMPORTANT_EXTRA,GA8,콰이어트 하버,개인 옵트인 출구 옹호; 외부 의료·신원 필요자의 개별 출구 확보,ledger §26,officeholders-ledger,,Risa Kern
nav-es,나브 에스,Nav Es,PERSON,IMPORTANT_EXTRA,GA8,나크레-3 관리인,원천·노동자·환자 증언 관리인; E889 강압 복사 대신 파괴 승인; 증인·책임 지위 보유,ledger §27; succession-table §7,officeholders-ledger; succession-table,,Nav Es
orin-da,오린 다,Orin Da,PERSON,IMPORTANT_EXTRA,GA8,나크레-3,공동 관리인; 생사·부상 여부는 후속 상태표 대기(미확정),ledger §27,officeholders-ledger,생사 미확정 — 상태표 결정 대기; 오렌 로만과 음소 유사,Orin Da
mire-saun,미레 사운,OF-802,PERSON,IMPORTANT_EXTRA,GA8(GA10 재사용),룸 해비탯 번역,번역 견습; 불확실성 삭제 지적·경계 있는 느린 버전 제안; GA10 번역협약 노동자,roster §16,ordinary-roster,,Mire Saun; OF-802
kes-arim,,Kes Arim,PERSON,IMPORTANT_EXTRA,GA9,권리·정확성 감사,8만건 결정 층화 감사 주도; 정확도가 공정을 증명하지 않음 입증,ga9-e901-925 §13,ga9 문서군,PR-L02와 기능 인접(별개 유지); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 케스 아림),Kes Arim
pera-il,,Pera Il,PERSON,IMPORTANT_EXTRA,GA9,조건부 가입 지역,조건부 가입 협상가; 기능별 투표 요구,ga9-e901-925 §14,ga9 문서군,PR-L04와 기능 인접(별개 유지); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 페라 일),Pera Il
don-varek,,Don Varek,PERSON,IMPORTANT_EXTRA,GA9,연합 탈퇴시험 행정,탈퇴 시뮬레이션·휴대성 관리자; 고통 없는 탈퇴 수사는 거짓 입장,ga9-e901-925 §15,ga9 문서군,카르 바젠과 바 계열 유사음 관리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 돈 바레크),Don Varek
teren-sol,,Teren Sol,PERSON,IMPORTANT_EXTRA,GA9,승무원 가족 권익,급여·휴식·가족이전 연결; 17400건 공통증명 옹호; 5년 피해·휴대성 기금 지지,ga9-e901-925 §5,ga9 문서군,테렌 보스 2인·에렌 솔과 표기 충돌 관리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 테렌 솔); 근사 동명 주의: Eren Sol(ga8)과 별개 인물,Teren Sol
sen-daro,,Sen Daro,PERSON,IMPORTANT_EXTRA,GA9,비표준 돌봄 네트워크,비표준 돌봄 엔지니어; 경계지어진 동등성 시험 창설; 지역귀환·훈련 노드화,ga9 3개 문서,ga9 문서군; ga8(스레드),표기 미확정(정본 한글명 없음)(센서스 임시음역: 센 다로),Sen Daro
oda-pell,,Oda Pell,PERSON,IMPORTANT_EXTRA,GA9,외부 운송(비연합),외부 운반선 선장; 연합 비가입 합법 협력 시연; 중립 70척 원장측 대표격,ga9 3개 문서,ga9 문서군,도반 펠과 성 충돌 표기 관리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 오다 펠),Oda Pell
roen-tas,로엔 타스,OF-902,PERSON,IMPORTANT_EXTRA,GA9-10,미등록 수리 노동,신원 P3/산업 P1 노동자; 성역망 보호 위해 전면 공개 거부; GA10 임시 신원·이의 실패 포컬,roster §21,ordinary-roster,에다 로엔과 로엔 표기 충돌 관리,Roen Tas; OF-902
sevi-ora,세비 오라,OF-903,PERSON,IMPORTANT_EXTRA,GA9-10,코어 학생,기록 복원 학생; 급우 위조 신고; GA10 학교기록 전환의 청년 목소리,roster §22,ordinary-roster,네미 오라·오라 니브와 오라 충돌 관리,Sevi Ora; OF-903
hao-min,하오 민,Hao Min,PERSON,IMPORTANT_EXTRA,GA9-10,수혜 공동체,주거·신규유입 서비스 조정자; 배제된 신규자 옹호 지도자로 성장,ledger §28,officeholders-ledger,,Hao Min
ben-rok,벤 로크,OF-904,PERSON,IMPORTANT_EXTRA,GA9-10,유예 프런티어 노드,소형 노드 행정관; 제한적 아우렐 신탁 수용; GA10 이동 최소서비스·개별 출구 협상,roster §23,ordinary-roster,로크 타인과 로크 충돌 관리; 근사 동명 주의: En Roka(ledger)와 별개 인물,Ben Rok; OF-904
nera-vos,,Nera Vos,PERSON,IMPORTANT_EXTRA,GA10(E1001-1025),첫 독립 작곡가 팀,무리안 작곡가 셀의 인간 작곡가 훈련생(E1007 28만6천명 최소서비스 복원),ga10-e1001-1025 §8,ga10 문서군,네라 비크와 이름 네라 중복 — 별개(충돌 관리); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 네라 보스(표기 미확정)),Nera Vos
kera-no,케라 노,OF-1001,PERSON,IMPORTANT_EXTRA,GA10,코어 약국,약국 기술자; 정전 중 중앙 폴백 사용으로 환자 구제; 폴백 만료 지지,roster §24,ordinary-roster,케라 모트와 이름 중복 관리,Kera No; OF-1001
tao-liv,타오 리브,OF-1002,PERSON,IMPORTANT_EXTRA,GA10,프런티어 이동 의료,이동 의무·청구 노동자; 개인의 외부 의료 선택 보호 후 심사·제재 수용,roster §25,ordinary-roster,,Tao Liv; OF-1002
ir-danel,이르 다넬,OF-1003,PERSON,IMPORTANT_EXTRA,GA10,지방 재정,재정·급여 국장; 분권 후 지역 포획 사례 시연; 외부 이의로 교정,roster §26,ordinary-roster,사벨 이르와 이르 충돌 관리,Ir Danel; OF-1003
noma-kes,노마 케스,OF-1005,PERSON,IMPORTANT_EXTRA,GA10,붕괴 회랑 주민,임시 미션신탁 지역 주민; 확정 철수 일정·지역 대표성 요구,roster §28,ordinary-roster,라브 케스와 성 동일(관계 미명시),Noma Kes; OF-1005
erin-savo,에린 사보,OF-1006,PERSON,IMPORTANT_EXTRA,GA10,제대 군인,제대 프레임 조종사; 중앙 지휘 자격 포기·지역 구조 자격 취득,roster §29,ordinary-roster,세린 오르와 음소 유사 관리; 사보 니르와 표기 중복 관리,Erin Savo; OF-1006
aurel-executor-ai,아우렐 집행체,AU-AI; Bounded Administrative AI,EMBODIMENT,N/A,GA1(파편)-GA10(분리),연속성국/아우렐 서비스망,한정 행정 AI 구현체 유형; 신원·의료·급여·명령·노드 기능 집행; GA1-3은 침묵한 프로토콜 파편,aurel-timeline §3-4,aurel-embodiment-and-office-timeline,유형(class)이며 단일 개체 아님,AU-AI
aurel-continuity-seat,아우렐 연속성좌,AU-C; C-CONT-001,EMBODIMENT,N/A,GA6-10,연속성국/제위 청구축,인간 승인+AI 모델+기록의 복합 비상 기능; 제위 청구 4축 중 연속성 청구의 정치적 실체; GA9 보존체제 집행부; GA10 키 분할,aurel-timeline §3; name-lock §6,aurel-embodiment-and-office-timeline; name-lock,name-lock C-CONT-001=AU-C 동일 실체 병합,AU-C; C-CONT-001; Aurel Continuity Seat
arin-vale,아린 베일,AU-P; OF-1004,EMBODIMENT,RECURRING_SUPPORT,GA8-10(+에필로그),아우렐 파생 독립 인격,인격 연속성·거부 능력을 입증한 독립 인격; E1048 시민권/개인명 선택; GA10 개인 지위 획득; 리안의 조수도 마스터키도 아님,aurel-timeline §3·§6; ledger §36·§39; roster §27,aurel-timeline; officeholders-ledger; ordinary-roster; terminology-bible,분리 전 장면은 아우렐 계층 라벨; 세프 아린(구명 세프 라인으로 해소)과 충돌 관리; sweep은 AI로 분류 — EMBODIMENT 채택,Arin Vale; AU-P; OF-1004; 아린; 아린 인격체
aurel-archive-partner,,Archive Partner; CLM-04 paired archival AI,AI,N/A,GA4-10,연속성국,법적 한정 기록 AI; 제도 기억·연속성 위험 모델; 인간 승인 없이 주권 목표 설정 불가; 악한 AI 반전 금지,a001 §1·§6; claimants-bible §22,antagonist-a001; ga4-frontstage-claimants,CLM-04 페어 아카이브 AI와 동일 계보 병합; AU-AI 집행체와 개념 중첩은 별개 유지; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 아우렐 아카이브 파트너),Archive Partner; CLM-04 archive AI
archive-legacy-record,유산록,Archive; Legacy Record,AI,N/A,GA1-10,아카이브 기관/시스템,미래사 색인·압축 시스템; 사람을 역사적 역할로 압축; 리안 기억 오염의 원천,protagonist-p001 §8; rian-index,protagonist-p001-bible; rian-index-removal,개인 아님 — 시스템 레코드,Archive; 유산록
soril-7,소릴-7,PR-L06; OF-803,AI,RECURRING_SUPPORT,GA8-10,AI 연속성 시민,인정받은 AI 연속성 시민; 강제 병합 거부; GA10 임시 인격 전환 패널 위원·개인 지위 획득,ledger §33; roster §17; succession-table §8·§12,officeholders-ledger; ordinary-roster; succession-table,PR-L06 실현체; ledger·roster 동일 개체 병합,Soril-7; Soril; PR-L06; OF-803
reum-2,레움-2,OF-805,AI,IMPORTANT_EXTRA,GA8-10,콰이어트 하버 거주,AI 파생 현재인격; 제한적 신원 번역 옵트인; GA10 개별 출구 선례,roster §19,ordinary-roster,,Reum-2; OF-805
ilex-three,,Ilex-Three,AI,IMPORTANT_EXTRA,GA9,루멘 복수성 위임,루멘 위임 AI; 근본 전용 비상 신원 거부; 군사 정체성 융합 거부,ga9 §9; ga9 3개 문서,ga9 문서군,Ilex-Seven과 자매 분기 — 별개 개체 유지; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 일렉스-3),Ilex-Three
ilex-seven,,Ilex-Seven,AI,RECURRING_SUPPORT,GA9-10,루멘 복수성 위임/첫 작곡가 팀,루멘 위임 AI; 공동체 통제 병렬 증명 선호; GA10 첫 독립 작곡가 팀의 AI 연결자,ga9 §9; ga10-e1001-1025 §8,ga9 문서군; ga10 문서군,같은 뿌리 다른 선호 — Ilex-Three와 별개; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 일렉스-7),Ilex-Seven
chorus-thread-vey,,Chorus Thread Vey,AI,IMPORTANT_EXTRA,GA9,오리슨 합창(번역·가구),오리슨 번역·기념명·복수 가구 위임; 데이터베이스 확실성의 가족 정당성 결정 반대,ga9 §10; ga9 3개 문서,ga9 문서군,record_type 미확정(PERSON/AI 문서 간 상이) — 오리슨 스레드 성격상 AI 채택(unresolved); 토마 베이와 성 충돌 관리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 코러스 스레드 베이),Chorus Thread Vey
three-serrat-ai-persons,,three Serrat current AI persons,AI,IMPORTANT_EXTRA,GA8(사망; GA8-10 참조),세라트 AI 공동체,안정화 중 영구 사망한 연속성-루트 AI 인격 3인(개별 무명); 3회 중복 계수 금지; 애도·승계는 공동체 통제,ga8-e801-825 §5; ga8-10 영구손실 명단,ga8-10 문서군,개별 이름 미기재 — 집합 1행(3개체); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 세라트 현재 AI 인격 3인),three Serrat AI persons(무명 3인)
aurel-a001,아우렐,A-001; Continuity Office 복합체,OFFICE,CORE_ANTAGONIST_RIVAL,GA1(파편)-GA10(분해),연속성국(Continuity Office),단일 인물이 아닌 연속성 이름 — 인간 직위 계보+한정 AI 집행체+기관을 하나의 독자 대면 이름으로 묶음; 주 제도적 적대 축; GA10 복수 법인격으로 분해,a001 §1; aurel-timeline §1; checkpoint-matrix §5,antagonist-a001; aurel-timeline; name-lock; checkpoint-matrix,continuity-office 기관 행과 GA5-7 Aurel 권한G 행 병합; 현직 인간축은 이사 벨→아벤 로(PERSON 행 참조),Aurel; A-001; 문명연속성국장; 연속성 집행좌; Adaptive Unified Registry and Emergency Lattice Executive; Seed(연계)
blood-admiral-title,피의 제독(칭호),The Blood Admiral,OFFICE,N/A,GA7-10(기록층)·원 시간선,역사 교리/기록층,분쟁 중인 역사 칭호·기록층; 단독 귀속 금지(모델·참모·자격증명·현재결정·선전 5층 분해); 하렌·아벤·리안 각자 부분,ga8-e851-875 §15; ga10-e1076-1100 §16,ga7-10 문서군; h001-bible,칭호이지 개인 아님 — 병합 단계에서 단일 인물로 붕괴 금지,Blood Admiral; 피의 제독
continuity-director-office,연속성 국장(직위),Continuity Director; Continuity Custodian,OFFICE,N/A,GA4-10,연속성국,연속성 국장·관리인 직위 계보; 상속된 사무소·직원·법·지지기반,ga8-e851-875 §3; ga7-route-war-leaders,ga7-10 문서군; ga9-preservation-regime,현직: 이사 벨(AU-H 시기)→아벤 로(GA8-10); Custodian/Director 명칭 병합,Continuity Director; Continuity Custodian; 연속성 디렉터
crown-reference-office,,Crown Reference Office,OFFICE,N/A,GA4(E431-450 신설),Compact v1,제한적 상징·대외 직위; 최대 18개월; 세습·자동 승계 금지,ga4-final §1,ga4 문서군,현직: 엘리안 아르젠; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 국가참조(왕관참조) 직위),Crown Reference Office
route-emergency-executor,,Route Emergency Executor,OFFICE,N/A,GA7(E746-753; 96시간),15개 정치체 선출 임시직,일회용 임시 집행직; 최대 1회 72시간 D4 명령; 갱신 불가·조사 의무 내장,ga7 e741-765 §1,ga7 문서군,현직: 하렌 도안(E746); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 항로 비상 집행관(10-3-2)),Route Emergency Executor 10-3-2
transitional-command-composer,,Transitional Command Composer,OFFICE,N/A,GA9 E1000-GA10,보존회랑연합,전역 승리 후 60일 한시 전환 지휘직; 소유·영구직·자동갱신 없음,ga9-e976-1000 §2,ga9-10 문서군,현직: 리안(E1025 만료); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 전환 명령-작곡가(60일)),Transitional Composer
coalition-tech-continuity-coordinator,,Coalition Technical Continuity Coordinator,OFFICE,N/A,GA9,보존회랑연합,연합 기술 조정 직위; 패키지 호환·사고 분석·자격증명 아키텍처 자문,ga9-e901-925 §3,ga9 문서군,현직: 아벤 로; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 연합 기술 연속성 조정자),
tr-l01,,TR-L01; Transition Convenor,OFFICE,N/A,GA10,수혜 지역·서비스 기관,이양 조건 협상; 최소서비스 협약 리더로 종결,ga10-roles TR-L01,ga10-transition-actors,PR-L01(다라 벤)과 통합 가능성 미결; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 전환 소집자(TR-L01)),TR-L01
tr-l02,,TR-L02,OFFICE,N/A,GA10,첫 RS-1/RS-2 이양 지역,첫 이양 지역 수장; 실패 후에도 지속; 여러 지역 모델 중 하나,ga10-roles TR-L02,ga10-transition-actors,PR-L04/Ardis 승계/RF-L01 통합 후보 미결; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 지역 전환 리더(TR-L02)),TR-L02
tr-l03,,TR-L03,OFFICE,N/A,GA10,중앙 연속성,자기 체계를 해체하는 관료; 위험 통제 전 키·직원·데이터 이양,ga10-roles TR-L03,ga10-transition-actors,A-001 승계 인간/AI 구성 또는 신임 국장 — 미결; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 중앙 연속성 전환 국장(TR-L03)),TR-L03
tr-l04,배제·폐쇄 신원 연합 대표(TR-L04),TR-L04,OFFICE,N/A,GA10,저신뢰·폐쇄·삭제 공동체,잠정 지위 복원; 영구 중앙 신원과 무모한 삭제 동시 방지,ga10-roles TR-L04,ga10-transition-actors,PC-003·망각권 대표 통합 후보 미결,TR-L04
tr-l05,,TR-L05,OFFICE,N/A,GA10,공동함대 헌장,이양 보호; 자기 제한으로 새 중앙 권력화 방지; 위협 종료 전 동원 해제,ga10-roles TR-L05,ga10-transition-actors,FC-002~005·CAP-001 승계 후보; 리안 아님 명시 — 미결; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 전환 보안/공동함대 사령관(TR-L05)),TR-L05
tr-l06,기술·서비스 커먼즈 대표(TR-L06),TR-L06,OFFICE,N/A,GA10,산업·의료·노동·AI 연합,표준 관리·수동 폴백·서비스 이전; H-002 너머의 평의회 구조,ga10-roles TR-L06,ga10-transition-actors,중심 보유자 권고: 네라 비크(H-002),TR-L06
tr-l07,,TR-L07,OFFICE,N/A,GA10,복수 아카이브 연합,현재상태 번역 조정; 마스터 역사 없는 얇은 공유 프로토콜,ga10-roles TR-L07,ga10-transition-actors,보유자 권고: 세린 오르(S-001); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 복수 아카이브 소집자(TR-L07)),TR-L07
tr-l08,,TR-L08,OFFICE,N/A,GA10,의료 네트워크,이양 중 환자 연속성; 가장 느린 이전 요구,ga10-roles TR-L08,ga10-transition-actors,보유자 권고: 미아 렌츠(M-001); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 의료 최소서비스 조정자(TR-L08)),TR-L08
fb01-facts-model-key,사실/모델 키 보유자,facts/model key holder,OFFICE,N/A,GA7(E766-800),상호 항로 연방(6시간 브리지),허위개방 데이터와 실용량 구분; 불확실성 보전; 실행 명령권 없음; 영구 보유자 없음,ga7 e791-800 §4,ga7 문서군,3키 직위군 — 현직 무명,facts/model key holder
fb01-affected-receiving-key,피해/수용 키 보유자,affected/receiving key holder,OFFICE,N/A,GA7(E766-800),상호 항로 연방,즉시 서비스 위험·수용 능력 대표; 수용측 합법적 거부 보전,ga7 e791-800 §4,ga7 문서군,현직 무명,affected/receiving key holder
fb01-implementation-key,,implementation key holder,OFFICE,N/A,GA7(E766-800),상호 항로 연방,참여 선박·호위·수리 행위자만 구속; 기권·기술 한계 기록,ga7 e791-800 §4,ga7 문서군,현직 무명; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 실행영역 키 보유자),implementation key holder
r31-technical-authority,,R-31 Technical Authority,OFFICE,N/A,GA7(E791-800),R-31 지역,허위개방 신호 후 중량 접근 정지; 유효한 D1 기술 정지 보유; 리안에 비종속,ga7 e791-800 §5,ga7 문서군,개인명 미부여; 표기 미확정(정본 한글명 없음)(센서스 임시음역: R-31 기술 당국),R-31 Technical Authority
fb01-medical-care-authority,의료·현재돌봄 당국(FB-01),Medical and Current-Care Authority,OFFICE,N/A,GA7(E791-800),의료·돌봄 권한,미검증 콜드체인 이송 차단; 긴급 의료 대기열 보호; 민간 교통 서열권 없음,ga7 e791-800 §6,ga7 문서군,GA7 일반군(§13)과 연관 — 직위 사례,Medical and Current-Care Authority
relief-convoy-commander,,Relief Convoy Commander,OFFICE,N/A,GA7(E791-800),구호 호송대,통합 무장 우선차선 요구; 무기 해충돌 수용·범위 이의; 함대 지휘권 미획득,ga7 e791-800 §7,ga7 문서군,무명 개인 — 직위 행; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 구호 호송대 지휘관),Relief Convoy Commander
local-defense-screen-commander,,Local Defense Screen Commander,OFFICE,N/A,GA7(E791-800),지역 방위,외국 무기락 거부; 분리 접근 볼륨 합의; 항법·근접방어 유지,ga7 e791-800 §8,ga7 문서군,무명 개인 — 직위 행; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 지역 방어막 지휘관),Local Defense Screen Commander
